ind,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,AUXHEAT,CONFIG,WALMAT,DIVMAT,LIMMAT,Q95,POHM,AUXHEAT_ID,CONFIG_ID,WALMAT_ID,DIVMAT_ID,LIMMAT_ID
6,HGELM,ASDEX,0.2959,2.205,3.7889999999999997,1.8699999999999999,1.694,0.9748,0.24208972845336485,1.5,0.051,19820622,5980,1.205,NB,DN,SS,TI2,NONE,4.563,68660.0,2,1,1,1,1
7,HGELM,ASDEX,0.29519999999999996,2.205,3.734,2.024,1.684,0.9724,0.24423990498812354,1.5,0.04902,19820622,5980,1.224,NB,DN,SS,TI2,NONE,4.671,22960.0,2,1,1,1,1
12,HSELM,ASDEX,0.2971,2.205,3.4099999999999997,1.132,1.693,0.9895,0.238806851742469,1.5,0.06375,19820622,5982,1.188,NB,DN,SS,TI2,NONE,4.275,0.0,2,1,1,1,1
13,HGELM,ASDEX,0.2959,2.205,3.775,1.376,1.693,0.9744,0.2423508564678086,1.5,0.06991,19820622,5982,1.216,NB,DN,SS,TI2,NONE,4.574,31630.0,2,1,1,1,1
14,HGELM,ASDEX,0.29419999999999996,2.204,3.847,2.033,1.685,0.9691,0.24492581602373886,1.5,0.05151,19820622,5982,1.244,NB,DN,SS,TI2,NONE,4.758,37030.0,2,1,1,1,1
19,HSELM,ASDEX,0.2969,2.202,3.363,1.3299999999999998,1.687,0.9942,0.23847065797273265,1.5,0.04856,19820622,5996,1.183,NB,DN,SS,TI2,NONE,4.216,38410.0,2,1,1,1,1
20,HGELM,ASDEX,0.2963,2.204,3.4179999999999997,1.6709999999999998,1.685,0.9863,0.24071216617210683,1.5,0.04612,19820622,5996,1.209,NB,DN,SS,TI2,NONE,4.373,7051.0,2,1,1,1,1
21,HGELM,ASDEX,0.2949,2.204,3.445,2.032,1.682,0.984,0.24161712247324613,1.5,0.04053,19820622,5996,1.234,NB,DN,SS,TI2,NONE,4.439,17020.0,2,1,1,1,1
26,HSELM,ASDEX,0.2969,2.205,3.378,1.5719999999999998,1.689,0.9941,0.23818827708703375,1.5,0.04232,19820622,6002,1.183,NB,DN,SS,TI2,NONE,4.213,40010.0,2,1,1,1,1
28,HGELM,ASDEX,0.2969,2.204,3.558,2.029,1.689,0.9818,0.24114860864416815,1.5,0.04232,19820622,6002,1.214,NB,DN,SS,TI2,NONE,4.429,9616.0,2,1,1,1,1
34,HGELM,ASDEX,0.2975,2.205,3.634,1.64,1.697,0.9906,0.23783146729522686,1.5,0.04529,19820622,6009,1.19,NB,DN,SS,TI2,NONE,4.234,37980.0,2,1,1,1,1
35,HGELM,ASDEX,0.2959,2.205,3.499,2.08,1.686,0.9878,0.24003558718861212,1.5,0.0364,19820622,6009,1.2,NB,DN,SS,TI2,NONE,4.339,51880.0,2,1,1,1,1
40,HSELM,ASDEX,0.2969,2.205,3.269,1.501,1.691,0.9964,0.2373151981076286,1.5,0.04006,19820622,6011,1.179,NB,DN,SS,TI2,NONE,4.169,28110.0,2,1,1,1,1
41,HGELM,ASDEX,0.2966,2.205,3.713,1.4349999999999998,1.697,0.9801,0.24048320565704184,1.5,0.06155,19820622,6011,1.217,NB,DN,SS,TI2,NONE,4.445,0.0,2,1,1,1,1
42,HGELM,ASDEX,0.29519999999999996,2.205,3.767,2.011,1.686,0.9711,0.24412811387900357,1.5,0.0491,19820622,6011,1.254,NB,DN,SS,TI2,NONE,4.691,13440.0,2,1,1,1,1
49,HGELM,ASDEX,0.2958,2.205,3.56,2.052,1.685,0.9841,0.24118694362017803,1.5,0.04,19820622,6023,1.214,NB,DN,SS,TI2,NONE,4.423,26620.0,2,1,1,1,1
54,HGELM,ASDEX,0.29769999999999996,2.204,3.864,1.3239999999999998,1.697,0.9914,0.23771361225692397,1.5,0.05714,19820624,6053,1.184,NB,DN,SS,TI2,NONE,4.215,6182.0,2,1,1,1,1
55,HGELM,ASDEX,0.2958,2.203,4.639,1.708,1.694,0.9767,0.24167650531286894,1.5,0.0618,19820624,6053,1.236,NB,DN,SS,TI2,NONE,4.524,43710.0,2,1,1,1,1
56,HGELM,ASDEX,0.2948,2.204,5.08,2.021,1.687,0.9724,0.24374629519857735,1.5,0.05512,19820624,6053,1.288,NB,DN,SS,TI2,NONE,4.666,36350.0,2,1,1,1,1
61,HSELM,ASDEX,0.2983,2.202,3.564,1.426,1.696,0.9978,0.23637971698113208,1.5,0.04645,19820624,6066,1.178,NB,DN,SS,TI2,NONE,4.11,33570.0,2,1,1,1,1
63,HGELM,ASDEX,0.2946,2.201,4.095,2.01,1.688,0.9696,0.24419431279620854,1.5,0.05323,19820624,6066,1.258,NB,DN,SS,TI2,NONE,4.714,21600.0,2,1,1,1,1
68,HSELM,ASDEX,0.2961,2.202,4.663,1.444,1.696,0.9799,0.24056603773584906,1.5,0.06682,19820624,6069,1.216,NB,DN,SS,TI2,NONE,4.444,13050.0,2,1,1,1,1
69,HGELM,ASDEX,0.2946,2.202,4.721,1.7149999999999999,1.693,0.9755,0.24199645599527467,1.5,0.05937,19820624,6069,1.232,NB,DN,SS,TI2,NONE,4.564,46610.0,2,1,1,1,1
70,HGELM,ASDEX,0.2954,2.202,4.719,2.057,1.69,0.9731,0.2429585798816568,1.5,0.05083,19820624,6069,1.248,NB,DN,SS,TI2,NONE,4.609,60800.0,2,1,1,1,1
75,HSELM,ASDEX,0.2963,2.204,3.155,1.3439999999999999,1.697,0.9824,0.23983500294637594,1.5,0.05646,19820624,6084,1.212,NB,DN,SS,TI2,NONE,4.393,0.0,2,1,1,1,1
76,HGELM,ASDEX,0.2955,2.202,3.326,1.504,1.697,0.9755,0.24160282852091924,1.5,0.05996,19820624,6084,1.231,NB,DN,SS,TI2,NONE,4.547,15980.0,2,1,1,1,1
