ind,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,AUXHEAT,CONFIG,WALMAT,DIVMAT,LIMMAT,Q95,POHM,AUXHEAT_ID,CONFIG_ID,WALMAT_ID,DIVMAT_ID,LIMMAT_ID
1515,HGELM,AUG,1.002,-2.09,9.923,4.553,1.649,1.63426104,0.30036385688295936,2.0,0.09272,19950518,6483,4.0,NB,SN(L),C,C,C,3.329,557800.0,2,3,3,4,2
1516,HGELM,AUG,0.9974,-2.499,4.502,2.5749999999999997,1.657,1.61426768,0.29945684972842485,2.0,0.1275,19960221,7439,3.0,NB,SN(L),C,W,C,3.859,379500.0,2,3,3,5,2
1517,HGELM,AUG,0.9967999999999999,-2.499,4.773,2.605,1.658,1.61518601,0.29921592279855247,2.0,0.1252,19960221,7440,3.0,NB,SN(L),C,W,C,3.856,392600.0,2,3,3,5,2
1518,HGELM,AUG,0.9966999999999999,-2.499,5.165,2.657,1.659,1.61883998,0.29849306811332127,2.0,0.1275,19960221,7441,3.0,NB,SN(L),C,W,C,3.857,425400.0,2,3,3,5,2
1519,HGELM,AUG,0.9984999999999999,-2.497,6.596,4.553999999999999,1.647,1.62168066,0.2996357012750455,2.0,0.103,19960221,7444,2.4,NB,SN(L),C,W,C,3.931,288500.0,2,3,3,5,2
1520,HGELM,AUG,0.9979,-2.497,6.9479999999999995,4.736,1.651,1.63077097,0.29806178073894607,2.0,0.0962,19960221,7444,3.0,NB,SN(L),C,W,C,3.93,379000.0,2,3,3,5,2
1521,HGELM,AUG,0.9975999999999999,-2.497,5.923,4.593,1.648,1.62409052,0.29890776699029126,2.0,0.1011,19960221,7446,2.4,NB,SN(L),C,W,C,3.935,288600.0,2,3,3,5,2
1522,HGELM,AUG,0.9974,-2.497,6.019,4.683,1.651,1.63414963,0.29763779527559053,2.0,0.09884,19960221,7446,3.0,NB,SN(L),C,W,C,3.939,322200.0,2,3,3,5,2
1523,HGELM,AUG,0.997,-2.497,5.968999999999999,4.5649999999999995,1.651,1.63221452,0.2976983646274985,2.0,0.1014,19960221,7468,3.0,NB,SN(L),C,W,C,3.936,308700.0,2,3,3,5,2
1524,HGELM,AUG,0.9974999999999999,-2.497,6.333,4.526,1.646,1.62210994,0.2996354799513974,2.0,0.1055,19960221,7469,2.4,NB,SN(L),C,W,C,3.941,238700.0,2,3,3,5,2
1525,HGELM,AUG,0.997,-2.496,5.99,4.593,1.65,1.63331922,0.29763636363636364,2.0,0.1022,19960221,7469,3.0,NB,SN(L),C,W,C,3.941,294400.0,2,3,3,5,2
1526,HGELM,AUG,0.9979,-2.497,5.979,4.593,1.651,1.6336022,0.2974560872198667,2.0,0.1012,19960221,7470,2.8,NB,SN(L),C,W,C,3.93,312900.0,2,3,3,5,2
1527,HGELM,AUG,0.9982,-2.497,6.265,4.483,1.647,1.62507661,0.2990892531876138,2.0,0.106,19960221,7471,2.4,NB,SN(L),C,W,C,3.937,243100.0,2,3,3,5,2
1528,HGELM,AUG,0.9972,-2.497,5.8309999999999995,4.569,1.651,1.63565883,0.29715324046032704,2.0,0.1018,19960221,7471,3.0,NB,SN(L),C,W,C,3.937,293600.0,2,3,3,5,2
1529,HGELM,AUG,0.9976999999999999,-2.499,6.717,4.599,1.648,1.62887605,0.298118932038835,2.0,0.1049,19960223,7555,2.498,NB,SN(L),C,W,C,3.938,296000.0,2,3,3,5,2
1530,HGELM,AUG,0.7964,-2.017,6.047,2.0989999999999998,1.649,1.63155707,0.30382049727107335,2.0,0.1349,19960223,7557,2.409,NB,SN(L),C,W,C,4.135,332600.0,2,3,3,5,2
1531,HGELM,AUG,0.7959999999999999,-2.016,5.804,2.206,1.659,1.62471108,0.30295358649789034,2.0,0.1211,19960223,7558,2.399,NB,SN(L),C,W,C,4.082,384600.0,2,3,3,5,2
1532,HGELM,AUG,0.7960999999999999,-2.115,6.266,4.579,1.647,1.61671451,0.30576806314511235,2.0,0.07838,19960301,7634,3.499,NB,SN(L),C,W,C,4.39,268200.0,2,3,3,5,2
1533,HGELM,AUG,0.7975,-2.016,6.375,4.6049999999999995,1.649,1.62262511,0.30442692540933897,2.0,0.08319,19960301,7639,3.5,NB,SN(L),C,W,C,4.196,235600.0,2,3,3,5,2
1534,HGELM,AUG,0.7959999999999999,-2.017,6.382,4.732,1.649,1.62068746,0.30460885385081865,2.0,0.08111,19960301,7640,3.501,NB,SN(L),C,W,C,4.2,252400.0,2,3,3,5,2
1535,HGELM,AUG,0.7956,-2.017,6.395,4.503,1.647,1.61885704,0.30522161505768064,2.0,0.08664,19960301,7641,3.5,NB,SN(L),C,W,C,4.204,218700.0,2,3,3,5,2
1536,HGELM,AUG,0.7963,-2.017,6.423,4.526,1.649,1.62205218,0.30436628259551246,2.0,0.08532,19960301,7643,3.5,NB,SN(L),C,W,C,4.185,231600.0,2,3,3,5,2
1537,HGELM,AUG,0.9966999999999999,-2.506,9.137,4.648,1.647,1.62486509,0.29957498482088646,2.0,0.1053,19960305,7654,3.81,NB,SN(L),C,W,C,3.971,414600.0,2,3,3,5,2
1538,HGELM,AUG,0.8000999999999999,-2.025,5.0249999999999995,4.242999999999999,1.639,1.6119013,0.3057962172056132,2.0,0.09037,19960307,7691,1.45,NB,SN(L),C,W,C,4.192,61980.0,2,3,3,5,2
1539,HGELM,AUG,0.7999999999999999,-2.022,4.995,6.058,1.641,1.63870865,0.3013406459475929,2.0,0.07202,19960307,7691,1.8,NB,SN(L),C,W,C,4.254,102700.0,2,3,3,5,2
1540,HGELM,AUG,1.001,-2.507,7.12,4.508,1.648,1.61207656,0.2988470873786408,2.0,0.1106,19960307,7696,1.75,NB,SN(L),C,W,C,3.885,181300.0,2,3,3,5,2
1541,HGELM,AUG,0.9995999999999999,-2.508,7.3759999999999994,4.52,1.647,1.60843954,0.29957498482088646,2.0,0.104,19960307,7707,1.75,NB,SN(L),C,W,C,3.889,227000.0,2,3,3,5,2
1542,HGELM,AUG,0.998,-2.508,8.024,2.725,1.647,1.62061572,0.29914996964177293,2.0,0.1311,19960307,7707,2.5,NB,SN(L),C,W,C,3.885,564100.0,2,3,3,5,2
1543,HGELM,AUG,0.9974999999999999,-2.511,7.256,4.373,1.654,1.60470579,0.30012091898428056,2.0,0.0964,19960424,7933,2.003,NB,SN(L),C,W,C,3.878,422300.0,2,3,3,5,2
1544,HGELM,AUG,0.9964999999999999,-2.511,7.096,4.596,1.662,1.63349954,0.29554753309265946,2.0,0.08576,19960424,7933,2.803,NB,SN(L),C,W,C,3.875,505400.0,2,3,3,5,2
1545,HGELM,AUG,0.9963,-2.511,6.9959999999999996,4.487,1.662,1.63542871,0.2954873646209386,2.0,0.08544,19960424,7933,3.503,NB,SN(L),C,W,C,3.877,545000.0,2,3,3,5,2
1546,HGELM,AUG,0.9979,-2.512,7.21,4.514,1.655,1.60642536,0.2994561933534743,2.0,0.09317,19960424,7934,2.002,NB,SN(L),C,W,C,3.865,462800.0,2,3,3,5,2
1547,HGELM,AUG,0.9964999999999999,-2.51,7.124,4.670999999999999,1.663,1.63531454,0.2948887552615755,2.0,0.08565,19960424,7934,3.002,NB,SN(L),C,W,C,3.86,571800.0,2,3,3,5,2
1558,HGELM,AUG,0.5992,-2.502,3.84,4.0969999999999995,1.666,1.58639923,0.293577430972389,2.0,0.05629,19960507,8039,1.498,NB,SN(L),C,W,C,6.556,61430.0,2,3,3,5,2
1563,HGELM,AUG,0.7994,-1.514,7.1579999999999995,8.366,1.669,1.65420132,0.28969442780107846,2.0,0.05023,19960507,8042,2.102,NB,SN(L),C,W,C,3.07,363600.0,2,3,3,5,2
1564,HGELM,AUG,1.0,-2.506,6.77,6.178,1.657,1.58858726,0.29812914906457455,2.0,0.08906,19960507,8044,2.6,NB,SN(L),C,W,C,3.998,203800.0,2,3,3,5,2
1566,HGELM,AUG,0.9991,-2.506,6.601,6.239,1.657,1.58720085,0.2986119493059747,2.0,0.0874,19960507,8044,3.1,NB,SN(L),C,W,C,4.005,230800.0,2,3,3,5,2
1571,HGELM,AUG,0.7988999999999999,-1.514,6.696,8.229,1.669,1.65509497,0.28927501497902935,2.0,0.04971,19960509,8087,2.13,NB,SN(L),C,W,C,3.063,316800.0,2,3,3,5,2
1572,HGELM,AUG,0.7987,-1.517,8.965,2.618,1.661,1.62195431,0.2954846478025286,2.0,0.1431,19960509,8087,2.98,NB,SN(L),C,W,C,3.031,522500.0,2,3,3,5,2
1574,HGELM,AUG,0.7981999999999999,-1.517,9.616999999999999,2.647,1.661,1.61263632,0.2965683323299217,2.0,0.1512,19960509,8090,3.1,NB,SN(L),C,W,C,3.044,458900.0,2,3,3,5,2
1575,HGELM,AUG,0.7978999999999999,-1.517,9.494,2.811,1.661,1.62437017,0.29572546658639376,2.0,0.136,19960509,8090,3.412,NB,SN(L),C,W,C,3.055,449200.0,2,3,3,5,2
1577,HGELM,AUG,1.1969999999999998,-2.973,9.463,4.656,1.664,1.61116897,0.2940504807692308,2.0,0.1134,19960509,8092,1.958,NB,SN(L),C,W,C,3.813,514500.0,2,3,3,5,2
1580,HGELM,AUG,1.0,-2.509,8.022,4.398,1.649,1.55124529,0.30485142510612495,2.0,0.1101,19960509,8093,1.767,NB,SN(L),C,W,C,3.952,222000.0,2,3,3,5,2
1582,HSELM,AUG,0.9979,-2.509,7.9399999999999995,2.706,1.654,1.58310667,0.3016928657799275,2.0,0.1311,19960509,8093,3.2,NB,SN(L),C,W,C,3.962,539100.0,2,3,3,5,2
