deviation,ICANTEN_ID,ICSCHEME_ID,ECHLOC_ID,ELMTYPE_ID,ITB_ID,ITBTYPE_ID,PHASE_ID,DIVNAME_ID,LIMMAT_ID,DIVMAT_ID,WALMAT_ID,CONFIG_ID,AUXHEAT_ID,ITER_questionable,ind,TOK,TOK_ID,DIVNAME,LCUPDATE,DATE,SHOT,TIME,TIME_ID,T1,T2,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE,ELMFREQ,ELMMAX,ELMDUR,ELMINT,OLTIME,LHTIME,TPI,ISEQ,MEFF,PGASA,PGASZ,BGASA,BGASZ,BGASA2,BGASZ2,PELLET,FUELRATE,XGASZ,XGASA,CONFIG,RGEO,RMAG,AMIN,AAREA,KAPPA,KAPPAA,KAREA,DELTA,DELTAU,DELTAL,INDENT,AREA,VOL,SEPLIM,XPLIM,WALMAT,DIVMAT,LIMMAT,EVAP,DALFMP,DALFDV,IGRADB,BT,IEML,PREMAG,IP,VSURF,Q95,SH95,BEILI2,BEIMHD,BEPMHD,BETMHD,BEPDIA,BMHDMDIA,TAUCR,FBS,RHOQ2,RHOINV,NEL,NELFORM,DNELDT,NEV,NE0,NE0TSC,ZEFF,ZEFFNEO,PRAD,POHM,ENBI,PINJ,BSOURCE,PINJ2,BSOURCE2,COCTR,PNBI,PFLOSS,ECHFREQ,ECHMODE,ECHLOC,PECRHC,PECRH,ICFREQ,ICSCHEME,ICANTEN,PICRHC,PICRH,PALPHA,DWDIA,DWDIAPAR,DWMHD,DWHC,TEV,TE0,TE0TSC,TIV,TI0,TICX0,WDIA,WMHD,WKIN,WEKIN,WIKIN,WROT,WFPER,WFPAR,WFFORM,WFANI,WFICRH,WFICRHP,WFICFORM,ICFORM,WFANIIC,TAUDIA,TAUMHD,TAUTH1,TAUTH2,WTOT,WTH,PL,PLTH,TAUTOT,TAUTH,TAUC92,TAUC93,H89,HITER96L,H93,HITER92Y,HEPS97,HIPB98Y,HIPB98Y1,HIPB98Y2,HIPB98Y3,HIPB98Y4,OMGAIMP0,OMGAIMPH,OMGAM0,OMGAMH,SPIN,TORQ,TORQBM,TORQIN,VTOR0,VTORV,VTORIMP,STANDARD,SELDB1,SELDB2,SELDB2X,IAEA92,DB2P5,DB2P8,DB3IS,DB3V5,IAE2000N,IAE2000X,HMWS2003,IAE2004S,IAE2004I,DB3DONLY,HMWS2005,OJK2006,SELDB3,SELDB3X,SELDB4,STDDB4V5,NEGW,NEL/NEGW,NUSTAREAV,QCYL,NUSTARECYL,RHOSTAR,BETATHT,TI0/TE0,BETAN,EPS
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,6,ASDEX,1,DV-IPRE,19940125,19820622,5980,1.205,1205,1.203,1.207,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.166,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.694,1.803,0.4101,0.4100778652,0.9752,0.97509163,0.9748,0.0,0.0,0.0,0.0,0.5152,5.482,0.1564,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2959,0.232,4.563,,2.649,2.019,2.019,0.009265,1.667,0.4481,5.42305623,,,0.27712111,3.7889999999999997,0,-1.959e19,3.017e19,5.053e19,,0.0,,0.0,68660.0,42000.0,2.62e6,404020,0.0,0,1.0,2.599e6,585700.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,212000.0,620500.0,212000.0,1,,,,,,,116400.0,141100.0,,,,,,,24260.0,0.578,0,0,0.0,0,0.0,0.04746,0.05753,,0.051,119600.0,95370.0,2.456e6,1.8699999999999999,0.04871,0.051,0.6667,0.6667,1.612,1.413,0.9272,1.103,1.126,1.15,1.119,1.132,1.13,1.011,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.56009643,0.67649066,,3.60853056,,,0.00298898,,2.8313843131,0.24208972845336485
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,7,ASDEX,1,DV-IPRE,19940125,19820622,5980,1.224,1224,1.222,1.226,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.166,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.684,1.797,0.4113,0.4112652382,0.9724,0.97223254,0.9724,0.0,0.0,0.0,0.0,0.5167,5.468,0.1643,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.29519999999999996,0.07778,4.671,,2.72,2.09,2.09,0.00954,1.751,0.4348,16.042211,,,0.273998,3.734,0,-4.468e19,2.94e19,5.164e19,,0.0,,0.0,22960.0,42000.0,2.62e6,404020,0.0,0,1.0,2.598e6,596700.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,-485.4,0.0,1,,,,,,,121100.0,144500.0,,,,,,,25220.0,0.5782,0,0,0.0,0,0.0,0.04628,0.05522,,0.04902,124400.0,99230.0,2.621e6,2.024,0.04748,0.04902,0.6667,0.6667,1.641,1.47,0.9572,1.139,1.165,1.185,1.152,1.169,1.167,1.044,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.5555496,0.6721272,,3.64966164,,,0.00311915,,2.930888689,0.24423990498812354
baseline,1,1,1,2,1,1,5,1,1,1,1,1,2,1,12,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.188,1188,1.186,1.19,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.693,1.787,0.4043,0.4042492324,0.9895,0.98924837,0.9895,0.0,0.0,0.0,0.0,0.508,5.405,0.1623,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2971,-0.05525,4.275,,2.289,1.66,1.66,0.007679,1.313,0.4427,22.850781,,,0.28205483,3.4099999999999997,0,1.926e20,2.83e19,4.475e19,,0.0,,0.0,0.0,42000.0,2.62e6,404020,0.0,0,1.0,2.59e6,558000.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,815400.0,1.187e6,942200.0,1,,,,,,,92490.0,117000.0,,,,,,,23670.0,0.5724,0,0,0.0,0,0.0,0.0523,0.07126,,0.06375,95840.0,72170.0,1.69e6,1.132,0.05671,0.06375,0.6667,0.6667,1.564,1.261,0.8309,1.016,1.04,1.084,1.051,1.039,1.037,0.9231,,,,,,,,,,,NONE,0,1,1111101111,1111011111,0,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.57870167,0.58925007,,3.54540998,,,0.00229495,,2.3041691143,0.238806851742469
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,13,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.216,1216,1.214,1.218,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.693,1.802,0.4103,0.4102813932,0.9748,0.97470849,0.9744,0.0,0.0,0.0,0.0,0.5155,5.482,0.157,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2959,0.1069,4.574,,2.658,2.028,2.028,0.00931,1.681,0.4425,11.762454,,,0.27679824,3.775,0,6.995e19,3.082e19,4.926e19,,0.0,,0.0,31630.0,42000.0,2.62e6,404020,0.0,0,1.0,2.599e6,584900.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,683900.0,659500.0,662500.0,1,,,,,,,117400.0,141600.0,,,,,,,24490.0,0.5772,0,0,0.0,0,0.0,0.0604,0.07206,,0.0699,120700.0,96200.0,1.961e6,1.376,0.06154,0.06991,0.6667,0.6667,1.821,1.553,1.037,1.242,1.264,1.303,1.26,1.259,1.257,1.121,,,,,,,,,,,NONE,1,111,1111111111,1111011111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.55954087,0.67466028,,3.61273967,,,0.00301507,,2.8465238476,0.2423508564678086
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,14,ASDEX,1,DV-IPRE,19940125,19820622,5982,1.244,1244,1.242,1.246,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.115,1.165,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.685,1.802,0.4127,0.4127031074,0.969,0.96901151,0.9691,0.0,0.0,0.0,0.0,0.5185,5.49,0.1619,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.29419999999999996,0.1259,4.758,,2.809,2.178,2.178,0.009887,1.842,0.4313,9.88304027,,,0.27242877,3.847,0,-3.992e19,2.993e19,5.386e19,,0.0,,0.0,37030.0,42000.0,2.62e6,404020,0.0,0,1.0,2.6e6,604000.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,140300.0,0.0,1,,,,,,,126600.0,149700.0,,,,,,,25150.0,0.58,0,0,0.0,0,0.0,0.04806,0.05683,,0.05151,129900.0,104700.0,2.637e6,2.033,0.04925,0.05151,0.6667,0.6667,1.707,1.538,1.009,1.194,1.218,1.238,1.202,1.221,1.219,1.09,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.54981639,0.69968812,,3.67068432,,,0.0032813,,3.0568063357,0.24492581602373886
baseline,1,1,1,2,1,1,5,1,1,1,1,1,2,1,19,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.183,1183,1.181,1.185,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.687,1.775,0.4023,0.4023387852,0.9942,0.99438854,0.9942,0.0,0.0,0.0,0.0,0.5056,5.358,0.171,,SS,TI2,NONE,NONE,,,,2.202,0.0,,0.2969,0.1294,4.216,,2.173,1.545,1.545,0.007146,1.205,0.3988,9.71549036,,,0.28272017,3.363,0,6.518e19,2.49e19,4.985e19,,0.0,,0.0,38410.0,42000.0,2.62e6,404020,0.0,0,1.0,2.588e6,558100.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,685900.0,685900.0,765200.0,0,,,,,,,84440.0,108200.0,,,,,,,23090.0,0.5739,0,0,0.0,0,0.0,0.04365,0.05832,,0.04856,87650.0,64560.0,1.888e6,1.3299999999999998,0.04644,0.04856,0.6667,0.6667,1.361,1.091,0.7098,0.8667,0.8898,0.9235,0.8997,0.8938,0.8927,0.7959,,,,,,,,,,,NONE,0,101,1111111111,1111011111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.58381721,0.57603646,,3.53706638,,,0.00207661,,2.132161816,0.23847065797273265
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,20,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.209,1209,1.207,1.211,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,6,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.685,1.783,0.4056,0.4056431125,0.986,0.98620648,0.9863,0.0,0.0,0.0,0.0,0.5097,5.397,0.1689,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2963,0.02379,4.373,,2.377,1.748,1.748,0.008041,1.409,0.3979,52.6757631,,,0.27927624,3.4179999999999997,0,-2.783e19,2.721e19,4.658e19,,0.0,,0.0,7051.0,42000.0,2.62e6,404020,0.0,0,1.0,2.59e6,571500.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,410700.0,410700.0,327100.0,0,,,,,,,98250.0,121900.0,,,,,,,24650.0,0.5735,0,0,0.0,0,0.0,0.04506,0.05384,,0.04612,101700.0,77040.0,2.242e6,1.6709999999999998,0.04536,0.04612,0.6667,0.6667,1.453,1.228,0.7916,0.9588,0.9858,1.014,0.9885,0.9918,0.9904,0.8844,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.57318383,0.59631828,,3.58068411,,,0.0024566,,2.4259840832,0.24071216617210683
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,21,ASDEX,1,DV-IPRE,19940125,19820622,5996,1.234,1234,1.232,1.236,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.682,1.781,0.4064,0.406372183,0.9842,0.98406214,0.984,0.0,0.0,0.0,0.0,0.5106,5.396,0.1716,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2949,0.05771,4.439,,2.42,1.79,1.79,0.008158,1.509,0.3399,21.5736392,,,0.27686836,3.445,0,8.093e19,2.828e19,4.568e19,,0.0,,0.0,17020.0,42000.0,2.62e6,404020,0.0,0,1.0,2.591e6,575900.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,147600.0,0.0,1,,,,,,,104000.0,123400.0,,,,,,,25170.0,0.5732,0,0,0.0,0,0.0,0.03997,0.04742,,0.04053,107500.0,82360.0,2.608e6,2.032,0.04123,0.04053,0.6667,0.6667,1.433,1.252,0.7998,0.9629,0.9914,1.013,0.9905,1.002,1.0,0.8947,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.56843043,0.60605481,,3.61182471,,,0.00262537,,2.4778454679,0.24161712247324613
baseline,1,1,1,2,1,1,5,1,1,1,1,1,2,1,26,ASDEX,1,DV-IPRE,19940125,19820622,6002,1.183,1183,1.181,1.185,NB,HSELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,5,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.689,1.777,0.4023,0.4023387852,0.9942,0.99438854,0.9941,0.0,0.0,0.0,0.0,0.5056,5.364,0.1689,,SS,TI2,NONE,NONE,,,,2.205,0.0,,0.2969,0.1347,4.213,,2.172,1.544,1.544,0.007132,1.24,0.3679,9.34428278,,,0.28267023,3.378,0,-8.624e19,2.544e19,4.915e19,,0.0,,0.0,40010.0,42000.0,2.62e6,404020,0.0,0,1.0,2.589e6,565300.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,441700.0,847400.0,517100.0,1,,,,,,,86990.0,108300.0,,,,,,,23750.0,0.5746,0,0,0.0,0,0.0,0.03988,0.05143,,0.04232,90270.0,66520.0,2.137e6,1.5719999999999998,0.04224,0.04232,0.6667,0.6667,1.314,1.069,0.6895,0.839,0.8623,0.8907,0.8707,0.871,0.87,0.7769,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.58381721,0.57860576,,3.53769121,,,0.00213131,,2.1308837784,0.23818827708703375
baseline,1,1,1,2,1,1,4,1,1,1,1,1,2,1,28,ASDEX,1,DV-IPRE,19940125,19820622,6002,1.214,1214,1.212,1.216,NB,HGELM,UNKNOWN,UNKNOWN,NA,UNKNOWN,,,,,1.11,1.163,7,NONE,1.5,2.0,1,1,1,0,0,NONE,,0,0.0,DN,1.689,1.791,0.4073,0.4073065946,0.9818,0.98182867,0.9818,0.0,0.0,0.0,0.0,0.5117,5.43,0.1637,,SS,TI2,NONE,NONE,,,,2.204,0.0,,0.2969,0.03239,4.429,,2.481,1.852,1.852,0.008561,1.527,0.3893,38.8599843,,,0.27934001,3.558,0,-8.789e18,2.956e19,4.64e19,,0.0,,0.0,9616.0,42000.0,2.62e6,404020,0.0,0,1.0,2.594e6,574500.0,0,NONE,NONE,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,451000.0,0.0,1,,,,,,,107100.0,129900.0,,,,,,,24640.0,0.5743,0,0,0.0,0,0.0,0.04121,0.04999,,0.04232,110500.0,85870.0,2.604e6,2.029,0.04245,0.04232,0.6667,0.6667,1.455,1.273,0.8189,0.9825,1.009,1.03,1.007,1.019,1.018,0.9112,,,,,,,,,,,NONE,1,111,1111111111,1111111111,1,1,1,0,1,1,1,0,1,0,0,0,0,1111111111,111100,0,1,0.56966273,0.62458009,,3.57986666,,,0.00272052,,2.5884530957,0.24114860864416815
