ind,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,AUXHEAT,CONFIG,WALMAT,DIVMAT,LIMMAT,Q95,POHM,AUXHEAT_ID,CONFIG_ID,WALMAT_ID,DIVMAT_ID,LIMMAT_ID
1516,HGELM,AUG,0.9974,-2.499,4.502,2.5749999999999997,1.657,1.61426768,0.29945684972842485,2.0,0.1275,19960221,7439,3.0,NB,SN(L),C,W,C,3.859,379500.0,2,3,3,5,2
1517,HGELM,AUG,0.9967999999999999,-2.499,4.773,2.605,1.658,1.61518601,0.29921592279855247,2.0,0.1252,19960221,7440,3.0,NB,SN(L),C,W,C,3.856,392600.0,2,3,3,5,2
1518,HGELM,AUG,0.9966999999999999,-2.499,5.165,2.657,1.659,1.61883998,0.29849306811332127,2.0,0.1275,19960221,7441,3.0,NB,SN(L),C,W,C,3.857,425400.0,2,3,3,5,2
1519,HGELM,AUG,0.9984999999999999,-2.497,6.596,4.553999999999999,1.647,1.62168066,0.2996357012750455,2.0,0.103,19960221,7444,2.4,NB,SN(L),C,W,C,3.931,288500.0,2,3,3,5,2
1520,HGELM,AUG,0.9979,-2.497,6.9479999999999995,4.736,1.651,1.63077097,0.29806178073894607,2.0,0.0962,19960221,7444,3.0,NB,SN(L),C,W,C,3.93,379000.0,2,3,3,5,2
1521,HGELM,AUG,0.9975999999999999,-2.497,5.923,4.593,1.648,1.62409052,0.29890776699029126,2.0,0.1011,19960221,7446,2.4,NB,SN(L),C,W,C,3.935,288600.0,2,3,3,5,2
1522,HGELM,AUG,0.9974,-2.497,6.019,4.683,1.651,1.63414963,0.29763779527559053,2.0,0.09884,19960221,7446,3.0,NB,SN(L),C,W,C,3.939,322200.0,2,3,3,5,2
1523,HGELM,AUG,0.997,-2.497,5.968999999999999,4.5649999999999995,1.651,1.63221452,0.2976983646274985,2.0,0.1014,19960221,7468,3.0,NB,SN(L),C,W,C,3.936,308700.0,2,3,3,5,2
1524,HGELM,AUG,0.9974999999999999,-2.497,6.333,4.526,1.646,1.62210994,0.2996354799513974,2.0,0.1055,19960221,7469,2.4,NB,SN(L),C,W,C,3.941,238700.0,2,3,3,5,2
1525,HGELM,AUG,0.997,-2.496,5.99,4.593,1.65,1.63331922,0.29763636363636364,2.0,0.1022,19960221,7469,3.0,NB,SN(L),C,W,C,3.941,294400.0,2,3,3,5,2
1526,HGELM,AUG,0.9979,-2.497,5.979,4.593,1.651,1.6336022,0.2974560872198667,2.0,0.1012,19960221,7470,2.8,NB,SN(L),C,W,C,3.93,312900.0,2,3,3,5,2
1527,HGELM,AUG,0.9982,-2.497,6.265,4.483,1.647,1.62507661,0.2990892531876138,2.0,0.106,19960221,7471,2.4,NB,SN(L),C,W,C,3.937,243100.0,2,3,3,5,2
1528,HGELM,AUG,0.9972,-2.497,5.8309999999999995,4.569,1.651,1.63565883,0.29715324046032704,2.0,0.1018,19960221,7471,3.0,NB,SN(L),C,W,C,3.937,293600.0,2,3,3,5,2
1530,HGELM,AUG,0.7964,-2.017,6.047,2.0989999999999998,1.649,1.63155707,0.30382049727107335,2.0,0.1349,19960223,7557,2.409,NB,SN(L),C,W,C,4.135,332600.0,2,3,3,5,2
1531,HGELM,AUG,0.7959999999999999,-2.016,5.804,2.206,1.659,1.62471108,0.30295358649789034,2.0,0.1211,19960223,7558,2.399,NB,SN(L),C,W,C,4.082,384600.0,2,3,3,5,2
1538,HGELM,AUG,0.8000999999999999,-2.025,5.0249999999999995,4.242999999999999,1.639,1.6119013,0.3057962172056132,2.0,0.09037,19960307,7691,1.45,NB,SN(L),C,W,C,4.192,61980.0,2,3,3,5,2
1539,HGELM,AUG,0.7999999999999999,-2.022,4.995,6.058,1.641,1.63870865,0.3013406459475929,2.0,0.07202,19960307,7691,1.8,NB,SN(L),C,W,C,4.254,102700.0,2,3,3,5,2
1551,HGELM,AUG,0.7981999999999999,-1.518,6.585999999999999,4.862,1.681,1.64531029,0.2900654372397382,2.0,0.08175,19960502,8014,2.42,NB,SN(L),C,W,C,3.028,446200.0,2,3,3,5,2
1552,HGELM,AUG,0.7979999999999999,-1.517,6.433,6.3709999999999996,1.683,1.65053706,0.2885323826500297,2.0,0.0687,19960502,8014,2.7,NB,SN(L),C,W,C,3.051,386100.0,2,3,3,5,2
1553,HGELM,AUG,0.9974,-2.506,5.749,4.487,1.663,1.58710239,0.29921828021647623,2.0,0.1092,19960503,8023,2.5,NB,SN(L),C,W,C,3.988,269800.0,2,3,3,5,2
1554,HGELM,AUG,0.9973,-2.505,6.208,6.173,1.665,1.58801888,0.2978978978978979,2.0,0.09472,19960503,8023,3.4,NB,SN(L),C,W,C,4.022,212000.0,2,3,3,5,2
1555,HGELM,AUG,0.9985999999999999,-2.505,6.185,6.425,1.664,1.58453945,0.29837740384615385,2.0,0.09106,19960503,8025,2.0,NB,SN(L),C,W,C,4.005,328600.0,2,3,3,5,2
1558,HGELM,AUG,0.5992,-2.502,3.84,4.0969999999999995,1.666,1.58639923,0.293577430972389,2.0,0.05629,19960507,8039,1.498,NB,SN(L),C,W,C,6.556,61430.0,2,3,3,5,2
1585,HGELM,AUG,0.7984,-2.022,5.943,2.2239999999999998,1.658,1.61049864,0.2986127864897467,2.0,0.13,19960509,8095,3.0,NB,SN(L),C,W,C,4.038,334200.0,2,3,3,5,2
1588,HGELM,AUG,0.7985,-2.022,5.984999999999999,2.226,1.658,1.61250741,0.2983112183353438,2.0,0.1278,19960509,8096,2.734,NB,SN(L),C,W,C,4.027,339200.0,2,3,3,5,2
1589,HGELM,AUG,0.7983,-2.022,5.911,2.227,1.658,1.61375645,0.2983112183353438,2.0,0.1287,19960509,8096,3.0,NB,SN(L),C,W,C,4.033,338900.0,2,3,3,5,2
1599,HGELM,AUG,0.7998,-2.018,5.486,3.203,1.655,1.59315628,0.3,2.0,0.1075,19960514,8120,1.909,NB,SN(L),C,W,C,4.024,155100.0,2,3,3,5,2
1600,HGELM,AUG,0.7991999999999999,-2.017,5.426,3.387,1.659,1.61000145,0.29734779987944543,2.0,0.1022,19960514,8120,2.5,NB,SN(L),C,W,C,4.04,210500.0,2,3,3,5,2
1601,HGELM,AUG,0.7990999999999999,-2.017,5.422,3.391,1.659,1.61130774,0.29722724532851114,2.0,0.102,19960514,8120,2.509,NB,SN(L),C,W,C,4.04,215200.0,2,3,3,5,2
1602,HGELM,AUG,0.7988999999999999,-2.017,5.341,3.392,1.659,1.61523616,0.29686558167570826,2.0,0.102,19960514,8120,3.1,NB,SN(L),C,W,C,4.049,223200.0,2,3,3,5,2
1614,HGELM,AUG,0.7975,-1.515,7.527,2.78,1.663,1.6326197,0.29398677089597114,2.0,0.1313,19960515,8132,3.0,NB,SN(L),C,W,C,3.039,506700.0,2,3,3,5,2
1617,HGELM,AUG,0.7981999999999999,-1.514,7.068,2.6719999999999997,1.664,1.6293931,0.29447115384615385,2.0,0.1354,19960515,8135,2.9,NB,SN(L),C,W,C,3.036,455200.0,2,3,3,5,2
1661,HGELM,AUG,1.0,-2.119,7.119,4.4479999999999995,1.645,1.57384474,0.31325227963525837,2.0,0.1369,19960522,8195,2.001,NB,SN(L),C,W,C,3.805,133600.0,2,3,3,5,2
